mobil,market,rkfree
-0.046,-0.045,0.00487
-0.017,0.01,0.00494
0.049,0.05,0.00526
0.077,0.063,0.00491
-0.011,0.067,0.00513
-0.043,0.007,0.00527
0.028,0.071,0.00528
0.056,0.079,0.00607
0.064,0.002,0.00645
-0.069,-0.189,0.00685
0.037,0.084,0.00719
0.041,0.015,0.0069
0.061,0.058,0.00761
-0.002,0.011,0.00761
0.029,0.123,0.00769
0.079,0.026,0.00764
-0.086,0.014,0.00772
0.088,0.075,0.00715
0.018,-0.013,0.00728
0.111,0.095,0.00789
0.18,0.039,0.00802
-0.031,-0.097,0.00913
0.051,0.116,0.00819
0.063,0.086,0.00747
0.075,0.124,0.00883
0.366,0.112,0.01073
-0.176,-0.243,0.01181
0.119,0.08,0.00753
0.003,0.062,0.0063
-0.024,0.086,0.00503
0.054,0.065,0.00602
-0.059,0.025,0.00731
0.007,0.015,0.0086
0.059,0.006,0.00895
0.193,0.092,0.01137
-0.081,-0.056,0.00977
-0.082,-0.014,0.01092
-0.067,-0.009,0.01096
-0.042,0.067,0.01025
-0.025,-0.008,0.01084
-0.092,0.064,0.01255
0.053,-0.003,0.01128
0.021,-0.033,0.01154
-0.057,-0.031,0.01169
-0.106,-0.164,0.01054
0.025,0.062,0.01003
0.038,0.069,0.00816
-0.09,-0.039,0.0074
-0.016,-0.079,0.00949
-0.016,-0.101,0.00946
-0.038,-0.028,0.01067
-0.011,0.041,0.00972
0.092,0.003,0.00908
-0.038,-0.078,0.00914
-0.073,-0.006,0.00714
0.157,0.122,0.00503
0.043,0.008,0.00563
0.02,0.136,0.0062
-0.04,0.049,0.00614
0.069,0.014,0.00648
0.055,0.065,0.00646
0.009,0.028,0.00599
0.095,0.043,0.00686
0.091,0.097,0.00652
-0.052,0.08,0.00649
0.077,0.048,0.00673
-0.06,-0.017,0.00714
0.118,-0.034,0.00668
-0.05,0,0.00702
-0.032,-0.082,0.00678
-0.033,0.066,0.00683
0.009,-0.012,0.00693
0.084,-0.029,0.00712
0.024,-0.03,0.00672
-0.028,0.003,0.00763
0.029,-0.003,0.00741
-0.146,-0.058,0.00627
0.01,0.005,0.00748
-0.092,-0.058,0.00771
0.261,0.146,0.00852
0.013,0,0.0083
0.014,-0.035,0.00688
-0.042,-0.019,0.00602
-0.052,-0.001,0.00612
0.053,0.097,0.00606
0.071,0.012,0.00586
0,0.008,0.0065
0.027,-0.01,0.00601
0.029,0.019,0.00512
-0.032,-0.003,0.00536
0.002,0.012,0.00562
-0.013,0.005,0.00545
0.004,-0.055,0.00571
0.1,0.026,0.00577
-0.008,0.059,0.0054
-0.04,0.013,0.00479
-0.021,-0.009,0.00548
-0.003,0.049,0.00523
-0.026,0.048,0.00508
0.042,-0.009,0.00444
0.082,0.049,0.00469
0.012,0.004,0.00478
-0.022,-0.076,0.00458
0.173,0.049,0.00343
0.053,-0.047,0.00416
0.02,0.018,0.00418
0.044,0,0.0042
0.019,-0.005,0.00382
0.093,0.148,0.00454
-0.022,0.065,0.00437
0.124,0.037,0.00423
-0.007,-0.025,0.00207
-0.003,0.004,0.00438
0.091,0.038,0.00402
0.032,0.055,0.00455
0.03,0.015,0.0046
-0.082,-0.015,0.0052
-0.178,-0.26,0.00358
-0.15,-0.07,0.00288
0.159,0.073,0.00277
